date;Tair;Ws10;RH;Rglo
2024-08-08 17:00:00+04:00;21.83416666666668;4.411825;80.96791666666664;110.56645000000002
2024-08-08 18:00:00+04:00;21.33558333333335;3.533533333333334;81.26458333333329;16.839283333333334
2024-08-08 19:00:00+04:00;20.96916666666668;2.637658333333333;82.65833333333327;0.1654166666666666
2024-08-08 20:00:00+04:00;20.716;2.414441666666667;84.55416666666663;0.0022833333333333
2024-08-08 21:00:00+04:00;20.57333333333333;2.2974500000000004;85.76916666666668;0.0022833333333333
2024-08-08 22:00:00+04:00;20.62933333333333;2.010675;85.16333333333331;0.0
2024-08-08 23:00:00+04:00;20.76716666666667;2.036766666666667;84.41916666666665;0.0
2024-08-09 00:00:00+04:00;20.786000000000005;2.3188500000000003;83.82916666666668;0.0
2024-08-09 01:00:00+04:00;20.700833333333343;2.581833333333333;82.605;0.0
2024-08-09 02:00:00+04:00;20.666666666666664;2.7035666666666662;81.55333333333334;0.0
2024-08-09 03:00:00+04:00;20.638916666666667;2.9449749999999995;81.50333333333333;0.0
2024-08-09 04:00:00+04:00;20.47883333333334;2.952658333333333;81.30966666666666;0.0
2024-08-09 05:00:00+04:00;20.34008333333333;2.6707333333333327;78.99716666666666;0.0
2024-08-09 06:00:00+04:00;20.223666666666663;2.080791666666666;77.31216666666666;0.8600083333333334
2024-08-09 07:00:00+04:00;20.38758333333333;1.4889666666666663;76.48866666666666;60.90559166666666
2024-08-09 08:00:00+04:00;21.367416666666664;2.23645;74.83399999999997;243.71475
2024-08-09 09:00:00+04:00;22.844249999999995;3.4624749999999995;71.46166666666664;476.0866666666666
2024-08-09 10:00:00+04:00;24.106166666666667;4.477233333333334;67.52383333333333;667.4474999999998
2024-08-09 11:00:00+04:00;24.853250000000003;5.090850000000001;66.20291666666665;799.5133333333332
2024-08-09 12:00:00+04:00;25.245750000000005;5.090674999999999;64.24475;862.7916666666667
2024-08-09 13:00:00+04:00;25.471833333333336;5.170583333333333;61.59258333333332;848.9966666666667
2024-08-09 14:00:00+04:00;25.450166666666668;5.246066666666668;62.03716666666666;759.9208333333333
2024-08-09 15:00:00+04:00;25.32175;4.981408333333334;63.48916666666666;607.9116666666666
2024-08-09 16:00:00+04:00;24.92991666666667;4.762325000000001;64.92791666666668;405.26499999999993
2024-08-09 17:00:00+04:00;23.835166666666662;4.532200000000001;67.73150000000001;183.5957166666666
2024-08-09 18:00:00+04:00;22.35425;3.2543500000000014;71.14266666666666;37.15137500000001
2024-08-09 19:00:00+04:00;20.86275;1.2953666666666674;73.96375;0.1414916666666666
2024-08-09 20:00:00+04:00;19.83;0.4683333333333335;76.72000000000001;0.0
2024-08-09 21:00:00+04:00;19.29325;0.4833083333333338;79.77341666666669;0.0
2024-08-09 22:00:00+04:00;18.757;0.3290250000000005;83.23616666666669;0.0
2024-08-09 23:00:00+04:00;18.17891666666668;0.2758583333333332;85.56750000000001;0.0
2024-08-10 00:00:00+04:00;17.73625;0.2968666666666666;85.30583333333334;0.0
2024-08-10 01:00:00+04:00;17.44983333333333;0.8289416666666668;84.3;0.0
